ITU Name,EMI Name
Afghanistan,Afghanistan
Albania,Albania
Algeria,Algeria
American Samoa,American Samoa
Andorra,Andorra
Angola,Angola
Antigua & Barbuda,Antigua
Argentina,Argentina
Armenia,Armenia
Aruba,Aruba
Australia,Australia
Austria,Austria
Azerbaijan,Azerbaijan
Bahamas,Bahamas
Bahrain,Bahrain
Bangladesh,Bangladesh
Barbados,Barbados
Belarus,Belarus
Belgium,Belgium
Belize,Belize
Benin,Benin
Bermuda,Bermuda
Bhutan,Bhutan
Bolivia,Bolivia
Bosnia and Herzegovina,Bosnia-Herzegovina
Botswana,Botswana
Brazil,Brazil
Brunei Darussalam,Brunei
Bulgaria,Bulgaria
Burkina Faso,Burkina Faso
Burundi,Burundi
Cambodia,Cambodia
Cameroon,Cameroon
Canada,Canada
Cape Verde,Cape Verde
Cayman Islands,Cayman Islands
Central African Rep.,Central African Republic
Chad,Chad
Chile,Chile
China,China
Colombia,Colombia
Comoros,Comoros
Congo (Rep.),Congo-Brazzaville
Congo (Dem. Rep.),"Congo, Democratic Republic"
Costa Rica,Costa Rica
Côte d'Ivoire,Côte d'Ivoire
Croatia,Croatia
Cuba,Cuba
Curacao,Curacao
Cyprus,Cyprus
Czech Republic,Czech Republic
D.P.R. Korea,North Korea
Denmark,Denmark
Djibouti,Djibouti
Dominica,Dominica
Dominican Rep.,Dominican Republic
Ecuador,Ecuador
Egypt,Egypt
El Salvador,El Salvador
Equatorial Guinea,Equatorial Guinea
Eritrea,Eritrea
Estonia,Estonia
Ethiopia,Ethiopia
Faroe Islands,NA
Fiji,Fiji
Finland,Finland
France,France
French Guiana,French Guiana
French Polynesia,French Polynesia
Gabon,Gabon
Gambia,Gambia
Georgia,Georgia
Germany,Germany
Ghana,Ghana
Gibraltar,Gibraltar
Greece,Greece
Greenland,NA
Grenada,Grenada
Guam,Guam
Guatemala,Guatemala
Guernsey,NA
Guinea,Guinea
Guinea-Bissau,Guinea-Bissau
Guyana,Guyana
Haiti,Haiti
Honduras,Honduras
"Hong Kong, China","Hong Kong, China"
Hungary,Hungary
Iceland,Iceland
India,India
Indonesia,Indonesia
Iran (I.R.),Iran
Iraq,Iraq
Ireland,Ireland
Israel,Israel
Italy,Italy
Jamaica,Jamaica
Japan,Japan
Jersey,NA
Jordan,Jordan
Kazakhstan,Kazakhstan
Kenya,Kenya
Kiribati,Kiribati
Korea (Rep.),South Korea
Kuwait,Kuwait
Kyrgyzstan,Kyrgyzstan
Lao P.D.R.,Laos
Latvia,Latvia
Lebanon,Lebanon
Lesotho,Lesotho
Liberia,Liberia
Libya,Libya
Liechtenstein,Liechtenstein
Lithuania,Lithuania
Luxembourg,Luxembourg
"Macao, China",Macau
Madagascar,Madagascar
Malawi,Malawi
Malaysia,Malaysia
Maldives,Maldives
Mali,Mali
Malta,Malta
Marshall Islands,NA
Mauritania,Mauritania
Mauritius,Mauritius
Mexico,Mexico
Micronesia (Fed. States of),NA
Moldova,Moldova
Monaco,Monaco
Mongolia,Mongolia
Montenegro,Montenegro
Morocco,Morocco
Mozambique,Mozambique
Myanmar,Myanmar
Namibia,Namibia
Nauru,Nauru
Nepal,Nepal
Netherlands,Netherlands
Netherlands Antilles,NA
New Caledonia,New Caledonia
New Zealand,New Zealand
Nicaragua,Nicaragua
Niger,Niger
Nigeria,Nigeria
Northern Marianas Islands,NA
Norway,Norway
Oman,Oman
Pakistan,Pakistan
Palau,NA
Palestine,NA
Panama,Panama
Papua New Guinea,Papua New Guinea
Paraguay,Paraguay
Peru,Peru
Philippines,Philippines
Poland,Poland
Portugal,Portugal
Puerto Rico,Puerto Rico
Qatar,Qatar
Romania,Romania
Russian Federation,Russia
Rwanda,Rwanda
St. Kitts and Nevis,St Kitts
St. Lucia,St Lucia
Samoa,Samoa
San Marino,NA
S. Tomé & Principe,Sao Tomé e Príncipe
Saudi Arabia,Saudi Arabia
Senegal,Senegal
Serbia,Serbia
Seychelles,Seychelles
Sierra Leone,Sierra Leone
Singapore,Singapore
Slovakia,Slovakia
Slovenia,Slovenia
Solomon Islands,Solomon Islands
Somalia,Somalia
South Africa,South Africa
South Sudan,South Sudan
Spain,Spain
Sri Lanka,Sri Lanka
St. Vincent and the Grenadines,St Vincent and the Grenadines
Sudan,Sudan
Suriname,Suriname
Swaziland,Swaziland
Sweden,Sweden
Switzerland,Switzerland
Syria,Syria
TFYR Macedonia,Macedonia
"Taiwan, Province of China",Taiwan
Tajikistan,Tajikistan
Tanzania,Tanzania
Thailand,Thailand
Timor-Leste,NA
Togo,Togo
Tonga,Tonga
Trinidad & Tobago,Trinidad and Tobago
Tunisia,Tunisia
Turkey,Turkey
Turkmenistan,Turkmenistan
Tuvalu,Tuvalu
Uganda,Uganda
Ukraine,Ukraine
United Arab Emirates,United Arab Emirates
United Kingdom,United Kingdom
United States,USA
Uruguay,Uruguay
Uzbekistan,Uzbekistan
Vanuatu,Vanuatu
Venezuela,Venezuela
Viet Nam,Vietnam
Virgin Islands (US),US Virgin Islands
Yemen,Yemen
Zambia,Zambia
Zimbabwe,Zimbabwe
